NofPmids,NofSnps,associationType,diseaseId,diseaseName,diseaseType,disease_mention,geneId,geneSymbol,gene_mention,originalSource,pmid,raw_sentence,score,sentence,source
1.0,0.0,Biomarker,C0020615,Hypoglycemia,disease,hypoglycaemia,6927,HNF1A,MODY3,CTD_human,15787664,"Diabetic subjects with mutations in the gene encoding hepatocyte nuclear factor (HNF)-1alpha (MODY3) are prone to develop hypoglycaemia at low doses of glibenclamide, interpreted as sulphonylurea hypersensitivity.",0.201648360705279,"Diabetic subjects with mutations in the gene encoding hepatocyte nuclear factor (HNF)-1alpha (<span class=""gene"" id=""15787664-1-94-99"">MODY3</span>) are prone to develop <span class=""disease"" id=""15787664-1-122-135"">hypoglycaemia</span> at low doses of glibenclamide, interpreted as sulphonylurea hypersensitivity.",CTD_human
4.0,0.0,Biomarker,C0009375,Colonic Neoplasms,group,colon tumor,595,CCND1,cyclin D1,CTD_human,21081470,"Western blots revealed overexpression of ?-catenin, c-Myc, cyclin D1, inducible nitric oxide synthase and cyclooxygenase-2 in colon tumor samples.",0.201648360705279,"Western blots revealed overexpression of &beta;-catenin, c-Myc, <span class=""gene"" id=""21081470-8-59-68"">cyclin D1</span>, inducible nitric oxide synthase and cyclooxygenase-2 in <span class=""disease"" id=""21081470-8-126-137"">colon tumor</span> samples.",CTD_human
,,Negative,MESH:D009369,,,tumour,22060,,p53,,28066899,These phenotypes coincided with an increased apoptosis and preferential up-regulation of p53 tumour suppressor protein in CD8+ T cells.,,,
,,Negative,MESH:D018205,,,AT,16163,,IL-13,,28193830,"We show that exposure of AT to Th2 cytokines, such as IL-4, IL-13, and GM-CSF, stimulates ATM proliferation, whereas Th1 cytokines, such as TNF-a, inhibit local ATM proliferation.",,,
,,Negative,MESH:D001404,,,Babesia,101091522,,paraoxonase-1,,28160310,"OBJECTIVES: The purpose of the study was to investigate the concentrations of serum amyloid A (SAA), haptoglobin (Hp), and paraoxonase-1 (PON1) in cats naturally infected with Hepatozoon felis and Babesia vogeli.",,,
,,Negative,MESH:D000544,,,Alzheimer's disease,4225,,meprin b,,28105004,"The latter event was discussed to be rather neuroprotective, whereas the ectodomain shedding of APP by meprin b reminiscent to BACE-1 is in line with the amyloid hypothesis of Alzheimer's disease, promoting neurodegeneration.",,,
,,Negative,MESH:D003876,,,AD lesions,77125,,IL-33,,28063040,"Moreover, the expression of alarmins such as TSLP, IL-33, and IL-25 is upregulated in acute AD lesions.",,,
22.0,114.0,Biomarker,C0271829,Pendred's syndrome,disease,PDS,5172,SLC26A4,pendrin,CTD_human,10644529,"The gene causing Pendred syndrome (PDS) encodes a protein designated pendrin, which is expressed in the thyroid, kidney, and fetal cochlea.",0.721287206812288,"The gene causing <span class=""disease"" id=""10644529-2-17-33"">Pendred syndrome</span> (<span class=""disease"" id=""10644529-2-35-38"">PDS</span>) encodes a protein designated <span class=""gene"" id=""10644529-2-69-76"">pendrin</span>, which is expressed in the thyroid, kidney, and fetal cochlea.",CTD_human;ORPHANET;UNIPROT
35.0,0.0,Therapeutic,C0027051,Myocardial Infarction,disease,myocardial infarction,5327,PLAT,alteplase,CTD_human,19341228,"The patients with myocardial infarction after administration of alteplase had statistically significantly higher coronary flow (TIMI-3), 72.5% as compared to the patients who received streptokinase, 39.2%.",0.21302714981833495,"The patients with <span class=""disease"" id=""19341228-6-18-39"">myocardial infarction</span> after administration of <span class=""gene"" id=""19341228-6-64-73"">alteplase</span> had statistically significantly higher coronary flow (TIMI-3), 72.5% as compared to the patients who received streptokinase, 39.2%.",CTD_human
,,Negative,MESH:D009369,,,malignancies,22060,,p53,,28155209,"Because p53 function is depressed in most malignancies, if MSCs in malignancy also have p53 hypofunction, differentiation therapy to osteogenic or adipogenic lineage may be an effective treatment.",,,
3.0,0.0,Biomarker,C0003873,Rheumatoid Arthritis,disease,rheumatoid arthritis,639,PRDM1,PRDM1,CTD_human,19898481,"Genetic variants at CD28, PRDM1 and CD2/CD58 are associated with rheumatoid arthritis risk.",0.205638237399215,"Genetic variants at CD28, <span class=""gene"" id=""19898481-0-26-31"">PRDM1</span> and CD2/CD58 are associated with <span class=""disease"" id=""19898481-0-65-85"">rheumatoid arthritis</span> risk.",CTD_human
,,Negative,MESH:D000592,,,OA,2641,,glucagon-like-peptide 1,,28153094,"Here, we utilized the congruent pharmacological activities of OA and glucagon-like-peptide 1 (GLP-1) in relieving IR and improving liver and pancreas functions and used a synthetic-biology-inspired design principle to engineer a therapeutic gene circuit that enables a concerted action of both drugs.",,,
,,Negative,MESH:D001169,,,CIA,12482,,CD20,,28094754,"Human umbilical cord MSC, anti-TNF antibody, rhTNFR:Fc fusion protein and anti-CD20 antibody were respectively injected intraperitoneally into CIA mice.",,,
,,Negative,MESH:C536766,,,glycogen synthesis,85243,,phosphatidylinositol-3-kinase,,28134520,RT-PCR and Western blotting analyses suggested that the SBFO extract could promote the expression of phosphatidylinositol-3-kinase (PI3K) and glycogen synthesis (GS) while inhibiting the expression of glycogen synthesis kinase-3b (GSK-3b).,,,
,,Negative,MESH:D018235,,,ASM,80332,,ADAM33,,28056993,"ADAM33, which is expressed in ASM cells, is suggested to play a role in the function of these cells.",,,
27.0,1.0,Biomarker,C0030567,Parkinson Disease,disease,Parkinson's disease,6622,SNCA,alpha-synuclein,CTD_human,12732244,"In humans, mutations in the alpha-synuclein gene or exposure to the neurotoxin 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP) produce Parkinson's disease with loss of dopaminergic neurons and depletion of nigrostriatal dopamine. alpha-Synuclein is a vertebrate-specific component of presynaptic nerve terminals that may function in modulating synaptic transmission.",0.44,"In humans, mutations in the <span class=""gene"" id=""12732244-1-28-43"">alpha-synuclein</span> gene or exposure to the neurotoxin 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP) produce <span class=""disease"" id=""12732244-1-139-158"">Parkinson's disease</span> with loss of dopaminergic neurons and depletion of nigrostriatal dopamine. alpha-Synuclein is a vertebrate-specific component of presynaptic nerve terminals that may function in modulating synaptic transmission.",CTD_human
,,Negative,MESH:D014085,,,TEM,20344,,P-selectin,,28104442,"Pharmacologic inhibition or knockdown of endothelial P-selectin blocks EP4-mediated cancer cell TEM, and inhibition of P-selectin prevents RCC tumor intravasation in CAM assay.",,,
,,Negative,MESH:D017827,,,wild type,50873,,Park2,,28086194,"Male Park2 wild type (WT) and KO mice (8 weeks old) were fed on a Lieber-DeCarli diet containing 6.6% ethanol for 2 weeks, and compared their responses.",,,
,,Negative,MESH:D013224,,,asthmatic,18843,,BPIFA1,,28165446,"Here we show that BPIFA1 levels are reduced in sputum samples from asthmatic patients and that BPIFA1 is secreted basolaterally from healthy, but not asthmatic human bronchial epithelial cultures (HBECs), where it suppresses ASM contractility by binding to and inhibiting the Ca(2+) influx channel Orai1.",,,
3.0,5.0,Biomarker,C0009324,Ulcerative Colitis,disease,ulcerative colitis,149233,IL23R,IL23R,CTD_human,18438406,"We also show that several risk loci are common to ulcerative colitis and Crohn's disease (IL23R, IL12B, HLA, NKX2-3 and MST1), whereas autophagy genes ATG16L1 and IRGM, along with NOD2 (also known as CARD15), are specific for Crohn's disease.",0.278604854027156,"We also show that several risk loci are common to <span class=""disease"" id=""18438406-2-50-68"">ulcerative colitis</span> and Crohn's disease (<span class=""gene"" id=""18438406-2-90-95"">IL23R</span>, IL12B, HLA, NKX2-3 and MST1), whereas autophagy genes ATG16L1 and IRGM, along with NOD2 (also known as CARD15), are specific for Crohn's disease.",CTD_human
5.0,0.0,Biomarker,C0020538,Hypertensive disease,group,hypertension,4846,NOS3,endothelial nitric oxide synthase,CTD_human,11457755,"Insulin resistance, hyperlipidemia, and hypertension in mice lacking endothelial nitric oxide synthase.",0.353425802886669,"Insulin resistance, hyperlipidemia, and <span class=""disease"" id=""11457755-0-40-52"">hypertension</span> in mice lacking <span class=""gene"" id=""11457755-0-69-102"">endothelial nitric oxide synthase</span>.",CTD_human
1.0,0.0,Biomarker,C0033626,Protein Deficiency,disease,Protein deficiency,847,CAT,catalase,CTD_human,15865262,"Protein deficiency in normal rats resulted in a significant increase in hepatic activities of catalase, glutathione peroxidase, glutathione reductase, and glutathione-S-transferase and the levels of lipid peroxidation.",0.2,"<span class=""disease"" id=""15865262-5-0-18"">Protein deficiency</span> in normal rats resulted in a significant increase in hepatic activities of <span class=""gene"" id=""15865262-5-94-102"">catalase</span>, glutathione peroxidase, glutathione reductase, and glutathione-S-transferase and the levels of lipid peroxidation.",CTD_human
,,Negative,MESH:C562593,,,XPG,7508,,XPC,,28185850,"Our results show that a short DNase I treatment before the immunoreaction, enhances the fluorescence signal of NER proteins, such as XPG, DDB2 and XPC.",,,
,,Negative,MESH:D014552,,,urinary tract infections,6717,,Sri,,28187754,The objective of this study was to evaluate urinary tract infections caused by ESBL producers and the antibiotic susceptibility patterns in Sri Lanka.,,,
3.0,47.0,Biomarker,C0398791,Nijmegen Breakage Syndrome,disease,NBS,4683,NBN,NBS1,CTD_human,17395558,"We describe a patient with a NBS clinical phenotype, chromosomal sensitivity to X-rays but without mutations in the whole NBS1 or in the Cernunnos gene.",0.537330086905011,"We describe a patient with a <span class=""disease"" id=""17395558-6-29-32"">NBS</span> clinical phenotype, chromosomal sensitivity to X-rays but without mutations in the whole <span class=""gene"" id=""17395558-6-122-126"">NBS1</span> or in the Cernunnos gene.",CTD_human;ORPHANET
,,Negative,MESH:D006980,,,hyperthyroid,363287,,HDAC4,,28063219,"In vivo experiments confirmed the downregulation of miR-1 in cardiac tissue from hyperthyroid animals, which was accompanied by increased HDAC4 mRNA levels.",,,
,,Negative,MESH:D001523,,,Parkinson-like behaviors,21823,,tyrosine hydroxylase,,28025041,The present study examined age and sex difference in tyrosine hydroxylase (TH) expression and dopamine-dependent and Parkinson-like behaviors following LPS treatment.,,,
35.0,277.0,Biomarker,C0035372,Rett Syndrome,disease,RTT,4204,MECP2,MECP2,CTD_human,19190538,Rett Syndrome (RTT) is caused in more than 60% of cases by nonsense mutations in the MECP2 gene.,0.92,"<span class=""disease"" id=""19190538-1-0-13"">Rett Syndrome</span> (<span class=""disease"" id=""19190538-1-15-18"">RTT</span>) is caused in more than 60% of cases by nonsense mutations in the <span class=""gene"" id=""19190538-1-85-90"">MECP2</span> gene.",CTD_human;ORPHANET;UNIPROT
10.0,3.0,Biomarker,C0030567,Parkinson Disease,disease,PD,120892,LRRK2,LRRK2,CTD_human,23017109,"We report that adult neurogenesis is highly susceptible to multiple ""risk factors"" for PD, including ?-synuclein accumulation, LRRK2 G2019 mutation and exposure to environmental toxins.",0.44,"We report that adult neurogenesis is highly susceptible to multiple ""risk factors"" for <span class=""disease"" id=""23017109-11-87-89"">PD</span>, including &alpha;-synuclein accumulation, <span class=""gene"" id=""23017109-11-127-132"">LRRK2</span> G2019 mutation and exposure to environmental toxins.",CTD_human
,,Negative,MESH:D064419,,,CID,25109,,rCD1,,28063490,"We provide detailed protocols for rCD1 synthesis, CID component expression in and delivery to mammalian cells and the determination of enzyme kinetics inside intact cells by a specially designed image acquisition and data analysis method.",,,
,,Negative,MESH:D008175,,,spread of lung cancer,13649,,epidermal growth factor receptors,,28015089,"UNASSIGNED: 7362 Background: Activated epidermal growth factor receptors (EGFR) and cyclooxygenase-2 (COX-2) enzyme play a related role in growth, apoptosis, angiogenesis, and metastatic spread of lung cancer.",,,
,,Negative,MESH:D008380,,,Marek's disease,777930,,miR-155,,28113043,"We also showed that v-rel could rescue the suppression of miR-155 expression observed in Marek's disease virus (MDV)-transformed cell lines, where its functional viral homologue MDV-miR-M4 is overexpressed.",,,
1.0,0.0,Biomarker,C0003873,Rheumatoid Arthritis,disease,rheumatoid arthritis,8200,GDF5,GDF-5,CTD_human,18830904,Modulatory effects of inflammation and therapy on GDF-5 expression in rheumatoid arthritis synovium.,0.20300763924902696,"Modulatory effects of inflammation and therapy on <span class=""gene"" id=""18830904-0-50-55"">GDF-5</span> expression in <span class=""disease"" id=""18830904-0-70-90"">rheumatoid arthritis</span> synovium.",CTD_human
1.0,0.0,Biomarker,C0010692,Cystitis,disease,inflammation of bladder,4803,NGF,NGF,CTD_human,16889433,Overexpression of NGF is known to mediate inflammation of bladder in this model.,0.28054945356842603,"Overexpression of <span class=""gene"" id=""16889433-6-18-21"">NGF</span> is known to mediate <span class=""disease"" id=""16889433-6-42-65"">inflammation of bladder</span> in this model.",CTD_human
,,Negative,MESH:D007249,,,chronic inflammation,21898,,TLR-4,,28159232,"Moreover, compared with UYDP, FYDP effectively normalized cell proliferation and downregulated mRNA expression levels of pro-inflammatory cytokines, NF-kB, TLR-4, and iNOs in lipopolysaccharide-induced chronic inflammation cells.",,,
1.0,1.0,Biomarker,C0021390,Inflammatory Bowel Diseases,group,inflammatory bowel disease,3586,IL10,IL10,CTD_human,23291587,"Three risk loci shared with ankylosing spondylitis and psoriasis (the MHC class I region, ERAP1 and IL23R and the MHC class I-ERAP1 interaction), as well as two loci shared with inflammatory bowel disease (IL23R and IL10) implicate shared pathogenic pathways in the spondyloarthritides and Beh?et's disease.",0.246909410102563,"Three risk loci shared with ankylosing spondylitis and psoriasis (the MHC class I region, ERAP1 and IL23R and the MHC class I-ERAP1 interaction), as well as two loci shared with <span class=""disease"" id=""23291587-8-178-204"">inflammatory bowel disease</span> (IL23R and <span class=""gene"" id=""23291587-8-216-220"">IL10</span>) implicate shared pathogenic pathways in the spondyloarthritides and Beh&Ccedil;et's disease.",CTD_human
2.0,0.0,Biomarker,C0003850,Arteriosclerosis,disease,atherosclerosis,348,APOE,apolipoprotein E,CTD_human,17118406,"To assess the effect of folic acid on the development of atherosclerosis, male apolipoprotein E-deficient mice fed a standard chow diet received either water (control group) or an aqueous solution of folic acid that provided a dose of 75 microg/kg/day, for ten weeks.",0.29203514261644004,"To assess the effect of folic acid on the development of <span class=""disease"" id=""17118406-2-57-72"">atherosclerosis</span>, male <span class=""gene"" id=""17118406-2-79-95"">apolipoprotein E</span>-deficient mice fed a standard chow diet received either water (control group) or an aqueous solution of folic acid that provided a dose of 75 microg/kg/day, for ten weeks.",CTD_human
,,Negative,MESH:D004342,,,experimental allergic conjunctivitis,20657,,SOD3,,28063939,The role of extracellular superoxide dismutase 3 (SOD3) in immune response and allergic conjunctival inflammation was examined in a murine model for experimental allergic conjunctivitis (EAC).,,,
,,Negative,MESH:D012480,,,Salmonella Enteritidis,1077779,,S1400,,28110775,We demonstrate that combined administration of Lactobacillus salivarius 59 and Enterococcus faecium PXN33 were effective competitive excluders of Salmonella Enteritidis S1400 in poultry.,,,
1.0,0.0,Biomarker,C1328840,Autoimmune Lymphoproliferative Syndrome,disease,autoimmune lymphoproliferative syndrome,4893,NRAS,NRAS,CTD_human,17517660,NRAS mutation causes a human autoimmune lymphoproliferative syndrome.,0.20054945356842604,"<span class=""gene"" id=""17517660-0-0-4"">NRAS</span> mutation causes a human <span class=""disease"" id=""17517660-0-29-68"">autoimmune lymphoproliferative syndrome</span>.",CTD_human
,,Negative,MESH:D015179,,,colorectal carcinoma,693204,,microRNA (miR)-619-5p,,28101234,"UNASSIGNED: The present study aimed to detect the expression of metastasis associated lung adenocarcinoma transcript 1 (MALAT1) and microRNA (miR)-619-5p in colorectal carcinoma (CRC), and to evaluate the significance of MALAT1 and miR-619-5p expression in the clinical diagnosis and prognosis of CRC.",,,
14.0,0.0,Biomarker,C0020538,Hypertensive disease,group,hypertension,1906,EDN1,endothelin-1,CTD_human,15188945,Studies suggest that endothelin-1 contributes to the pathogenesis of hypertension.,0.3395630242270869,"Studies suggest that <span class=""gene"" id=""15188945-1-21-33"">endothelin-1</span> contributes to the pathogenesis of <span class=""disease"" id=""15188945-1-69-81"">hypertension</span>.",CTD_human
3.0,0.0,Biomarker,C0025202,melanoma,disease,cutaneous melanoma,434,ASIP,ASIP,CTD_human,18488027,ASIP and TYR pigmentation variants associate with cutaneous melanoma and basal cell carcinoma.,0.222054653185748,"<span class=""gene"" id=""18488027-0-0-4"">ASIP</span> and TYR pigmentation variants associate with <span class=""disease"" id=""18488027-0-50-68"">cutaneous melanoma</span> and basal cell carcinoma.",CTD_human
28.0,0.0,Biomarker,C0007131,Non-Small Cell Lung Carcinoma,disease,non-small-cell lung cancer,238,ALK,ALK,CTD_human,22508824,Remarkable tumor response to crizotinib in a 14-year-old girl with ALK-positive non-small-cell lung cancer.,0.28,"Remarkable tumor response to crizotinib in a 14-year-old girl with <span class=""gene"" id=""22508824-0-67-70"">ALK</span>-positive <span class=""disease"" id=""22508824-0-80-106"">non-small-cell lung cancer</span>.",CTD_human
1.0,0.0,Biomarker,C0007131,Non-Small Cell Lung Carcinoma,disease,non-small cell lung cancer,6774,STAT3,STAT3,CTD_human,21549414,Prognostic significance of STAT3 expression and its correlation with chemoresistance of non-small cell lung cancer cells.,0.21263743207380306,"Prognostic significance of <span class=""gene"" id=""21549414-0-27-32"">STAT3</span> expression and its correlation with chemoresistance of <span class=""disease"" id=""21549414-0-88-114"">non-small cell lung cancer</span> cells.",CTD_human
1.0,0.0,Biomarker,C0028754,Obesity,disease,obese,7436,VLDLR,VLDLR,CTD_human,20975297,"Similarly, transcripts associated with cholesterol and lipoprotein metabolism showed a differential expression, with APOE and ABCA being decreased and VLDLR being increased in obese versus lean subjects.",0.20082418035263894,"Similarly, transcripts associated with cholesterol and lipoprotein metabolism showed a differential expression, with APOE and ABCA being decreased and <span class=""gene"" id=""20975297-4-151-156"">VLDLR</span> being increased in <span class=""disease"" id=""20975297-4-176-181"">obese</span> versus lean subjects.",CTD_human
1.0,0.0,Biomarker,C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,disease,T-cell acute lymphoblastic leukemia,6134,RPL10,RPL10,CTD_human,23263491,Exome sequencing identifies mutation in CNOT3 and ribosomal genes RPL5 and RPL10 in T-cell acute lymphoblastic leukemia.,0.20054945356842604,"Exome sequencing identifies mutation in CNOT3 and ribosomal genes RPL5 and <span class=""gene"" id=""23263491-0-75-80"">RPL10</span> in <span class=""disease"" id=""23263491-0-84-119"">T-cell acute lymphoblastic leukemia</span>.",CTD_human
14.0,20.0,Biomarker,C0033300,Progeria,disease,Hutchinson-Gilford syndrome,4000,LMNA,lamin,CTD_human,15726408,"The diagnosis of Hutchinson-Gilford syndrome was confirmed by analysis of the lamin A gene, revealing a heterozygous c.1824C > T (G608G) mutation.",0.752630333288665,"The diagnosis of <span class=""disease"" id=""15726408-7-17-44"">Hutchinson-Gilford syndrome</span> was confirmed by analysis of the <span class=""gene"" id=""15726408-7-78-83"">lamin</span> A gene, revealing a heterozygous c.1824C &gt; T (G608G) mutation.",CTD_human;ORPHANET;UNIPROT
1.0,0.0,Biomarker,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",disease,type 2 diabetes,6424,SFRP4,Secreted frizzled-related protein 4,CTD_human,23140642,Secreted frizzled-related protein 4 reduces insulin secretion and is overexpressed in type 2 diabetes.,0.20054945356842604,"<span class=""gene"" id=""23140642-0-0-35"">Secreted frizzled-related protein 4</span> reduces insulin secretion and is overexpressed in <span class=""disease"" id=""23140642-0-86-101"">type 2 diabetes</span>.",CTD_human
,,Negative,MESH:D013274,,,gastric cancer,387182,,miR-187,,28098868,The expression and biological function for miR-187 in gastric cancer remains unknow.,,,
1.0,0.0,Biomarker,C0206180,Ki-1+ Anaplastic Large Cell Lymphoma,disease,anaplastic large cell lymphoma,3320,HSP90AA1,HSP90,CTD_human,17157164,The HSP90 inhibitor 17-AAG synergizes with doxorubicin and U0126 in anaplastic large cell lymphoma irrespective of ALK expression.,0.200274726784213,"The <span class=""gene"" id=""17157164-0-4-9"">HSP90</span> inhibitor 17-AAG synergizes with doxorubicin and U0126 in <span class=""disease"" id=""17157164-0-68-98"">anaplastic large cell lymphoma</span> irrespective of ALK expression.",CTD_human
2.0,0.0,Biomarker,C0024121,Lung Neoplasms,group,lung tumor,2,A2M,alpha-2-macroglobulin,CTD_human,19180532,"Notably, expression of alpha-2-macroglobulin, transthyretin, alpha-1-antitrypsin, and properdin was in common in different lung tumor models, but regulation of orosomucoid-8, apolipoprotein-A1, apolipoprotein-C3, apolipoprotein-E, glutathione peroxidase-3, plasma retinol-binding protein, and serum amyloid P component was unique when the serum proteomes of c-myc and c-raf tumor bearing mice were compared.",0.2,"Notably, expression of <span class=""gene"" id=""19180532-8-23-44"">alpha-2-macroglobulin</span>, transthyretin, alpha-1-antitrypsin, and properdin was in common in different <span class=""disease"" id=""19180532-8-123-133"">lung tumor</span> models, but regulation of orosomucoid-8, apolipoprotein-A1, apolipoprotein-C3, apolipoprotein-E, glutathione peroxidase-3, plasma retinol-binding protein, and serum amyloid P component was unique when the serum proteomes of c-myc and c-raf tumor bearing mice were compared.",CTD_human
,,Negative,MESH:D006528,,,HCC,387218,,miR-26a,,28079894,We found that chemotherapeutic drug doxorubicin (Dox) induced autophagy but decreased the level of miR-26a/b in HCC cells.,,,
,,Negative,MESH:C535879,,,caudal type homeobox 2,768612,,transcription factor 4,,28106824,"An analysis of cis-acting elements in avian MUC2 gene promoters revealed conservation of binding sites, within a 2.9 kb proximal promoter region, for transcription factors such as caudal type homeobox 2 (CDX2), GATA binding protein 4 (GATA4), hepatocyte nuclear factor 4 a (HNF4A), and transcription factor 4 (TCF4) that are important for maintaining intestinal homeostasis and functional integrity.",,,
,,Negative,MESH:C562465,,,TBCD,511349,,ARL2,,28126905,We previously purified TBCD from bovine tissues and showed that it tightly binds the small GTPase ARL2 but appears to be inactive.,,,
,,Negative,MESH:D015658,,,virus,57314,,Th1,,28077601,"Whereas vaccination of mice with an influenza subunit vaccine induced moderate virus-specific IgG1, vaccination together with RNAdjuvant significantly enhanced this IgG1 and additionally promoted the formation of IgG2b/c, which is indicative of Th1 responses.",,,
